MIC_E3	MIC_E3	MIC_E3	MIC_E3	MIC_E4	MIC_E4	MIC_E4	MIC_E4
OSCP1	72	102	104	73	58	46	43	37
MRPS15	1050	1024	1084	1107	1168	1042	872	953
CSF3R	171	115	163	169	172	204	202	354
GRIK3	5	10	61	0	1	2	0	0
MIR4255	0	0	0	0	0	0	0	0
LOC728431	114	83	80	119	83	72	51	63
ZC3H12A	1643	594	655	1079	630	870	648	882
MEAF6	1220	977	1107	1132	851	1017	1099	971
MIR5581	0	0	0	5	0	0	5	5
SNIP1	435	475	471	490	272	473	469	473
DNALI1	88	119	169	98	60	39	14	21
GNL2	1499	1203	1268	1266	982	1246	1120	1176
RSPO1	1	2	7	1	0	0	0	0
C1orf109	326	313	322	397	200	258	299	288
CDCA8	795	395	365	695	262	66	90	67
EPHA10	1	1	3	1	0	0	1	0
MANEAL	152	141	180	137	83	130	119	72
YRDC	415	364	411	311	353	292	313	290
C1orf122	1012	1126	1014	807	1406	769	594	534
MTF1	1413	879	984	1093	331	1069	1090	1330
INPP5B	619	542	504	622	403	482	587	656
SF3A3	2321	2049	2277	2198	1963	2015	1925	1881
FHL3	518	676	698	568	474	264	290	324
UTP11L	918	835	855	786	660	730	720	624
POU3F1	4	10	15	6	8	3	10	4
MIR3659	0	0	0	0	0	0	0	0
LOC339442	0	0	0	0	0	0	0	0
RRAGC	3474	2345	2952	3063	2923	3584	2858	2627
GJA9-MYCBP	0	0	0	0	0	0	0	0
MYCBP	19	17	15	22	8	7	19	18
GJA9	0	0	0	0	0	0	0	0
RHBDL2	1	0	0	2	0	1	0	0
AKIRIN1	2605	2074	2553	2654	1598	2473	2246	2500
NDUFS5	1760	1884	2090	2141	2711	1764	1647	1705
MACF1	9598	5667	6799	10027	2201	6404	6933	8751
KIAA0754	684	372	444	620	38	313	276	339
BMP8A	2	2	1	6	0	0	3	1
PPIEL	15	6	13	11	13	12	39	57
PABPC4	7737	7287	7301	7056	6181	7579	6185	6800
SNORA55	2	0	3	6	0	3	2	1
HEYL	31	179	154	157	7	7	8	10
NT5C1A	8	14	1	47	1	0	3	0
HPCAL4	52	38	67	163	48	4	0	0
PPIE	644	685	644	588	671	572	528	570
BMP8B	13	7	8	15	3	2	8	8
OXCT2	2	0	0	0	0	0	0	2
TRIT1	245	227	265	271	247	280	255	311
MYCL1	648	352	529	555	729	875	691	802
MFSD2A	398	264	369	366	369	381	474	431
CAP1	36800	19137	22206	33455	17213	28849	30581	29655
PPT1	15805	9066	11540	17457	11021	15602	16142	16664
RLF	721	709	841	826	321	876	747	807
TMCO2	1	0	0	0	0	0	1	0
ZMPSTE24	2748	2069	2603	2649	1766	2896	2622	2560
COL9A2	264	101	130	245	136	132	189	323
SMAP2	5313	3333	3737	4297	2987	6583	5823	6733
ZFP69B	72	124	111	79	24	71	46	31
ZFP69	100	64	80	98	45	85	62	59
EXO5	367	214	214	300	238	243	212	178
ZNF684	103	69	63	88	89	111	82	74
RIMS3	540	490	627	444	270	444	430	534
LOC100130557	6	21	16	17	9	11	11	44
NFYC	1588	1440	1530	1693	1171	1254	1572	1680
MIR30E	0	0	0	0	0	0	0	0
MIR30C1	0	0	0	0	0	0	0	0
KCNQ4	9	3	4	0	0	0	10	1
CITED4	18	38	52	11	61	22	6	11
CTPS1	705	584	668	536	479	367	306	233
SLFNL1-AS1	3	2	2	6	1	2	1	1
SLFNL1	0	1	2	0	0	0	0	3
SCMH1	466	667	594	640	201	168	224	189
EDN2	1	0	1	0	2	0	0	0
HIVEP3	1959	1088	1343	1761	548	707	1343	1735
GUCA2B	0	0	0	0	0	0	0	0
GUCA2A	0	0	0	0	0	0	0	0
FOXJ3	1435	1373	1451	1672	658	1390	1369	1357
RIMKLA	13	15	40	8	9	8	14	3
ZMYND12	33	24	34	40	64	36	25	19
PPCS	1230	979	1013	1069	1194	1042	1077	1059
CCDC30	2	13	23	8	5	2	12	11
PPIH	368	393	360	389	496	319	220	290
YBX1	26449	20861	25147	27014	22179	24422	25550	25770
CLDN19	4	40	40	74	2	0	0	0
LEPRE1	2873	6086	4736	3346	2542	1206	1070	1033
C1orf50	130	129	130	122	152	136	126	151
LOC100129924	0	4	0	2	1	0	0	0
CCDC23	361	287	428	343	435	332	222	334
ERMAP	658	483	525	634	289	520	559	639
ZNF691	151	132	125	196	131	110	160	159
SLC2A1	150	421	348	193	216	109	15	0
SLC2A1-AS1	2	5	1	9	0	1	0	0
FAM183A	0	1	5	1	1	0	0	0
EBNA1BP2	812	730	870	793	781	572	578	625
WDR65	0	6	12	1	1	0	0	0
TMEM125	0	0	0	0	0	0	0	0
C1orf210	0	0	0	0	0	0	0	0
TIE1	17	16	29	134	9	21	134	119
MPL	2	0	1	0	0	0	1	0
CDC20	1011	402	474	857	361	41	91	56
ELOVL1	3352	2217	2330	3034	2441	2905	3509	3568
MED8	969	1022	1011	968	951	859	915	808
SZT2	1188	1117	1039	1305	351	876	1559	1511
HYI	213	210	170	154	186	107	143	171
PTPRF	352	788	1194	1101	223	189	48	3
KDM4A	1619	1725	1817	1738	1093	1520	1563	1679
KDM4A-AS1	6	11	5	6	4	9	2	0
ST3GAL3	161	258	238	184	143	125	141	146
ARTN	2	2	3	0	0	0	0	0
IPO13	1585	1256	1310	1502	1249	1311	1738	1926
DPH2	427	336	374	364	291	369	307	361
ATP6V0B	6059	3811	4018	4025	7272	5364	4903	5592
B4GALT2	564	1324	1091	685	604	226	238	150
CCDC24	92	50	50	65	63	60	61	47
SLC6A9	310	1115	920	165	270	74	11	0
KLF17	0	6	0	1	0	0	0	0
DMAP1	587	527	523	586	590	365	462	548
ERI3	778	1049	961	795	807	604	588	638
RNF220	1688	1299	1377	1685	1294	1251	1841	1720
MIR5584	0	0	0	0	0	0	0	0
TMEM53	338	226	223	277	407	402	427	493
C1orf228	2	3	2	6	5	4	8	6
KIF2C	884	496	501	810	352	38	65	75
RPS8	11913	15978	16348	13384	17580	12427	11643	12547
SNORD55	5	4	5	6	4	4	2	0
SNORD46	0	0	0	1	0	0	0	0
SNORD38A	0	0	0	0	0	0	2	1
SNORD38B	4	1	5	1	3	3	6	3
BEST4	2	0	1	0	2	0	0	1
PLK3	469	283	271	366	305	308	343	321
TCTEX1D4	3	0	0	0	4	1	0	1
BTBD19	179	202	154	171	54	60	75	129
PTCH2	36	13	22	48	28	4	40	36
EIF2B3	531	495	514	479	622	480	460	491
HECTD3	2244	1569	1824	2386	1565	1813	2700	2526
UROD	2040	1990	1812	1937	3095	1743	1917	1884
ZSWIM5	11	17	32	3	5	2	2	1
LOC400752	4	15	10	3	7	8	5	9
HPDL	13	16	24	5	7	7	2	1
MUTYH	237	205	184	219	185	120	190	143
TOE1	321	259	312	275	268	238	229	222
TESK2	292	272	299	410	204	309	417	501
CCDC163P	58	68	45	48	35	19	39	29
MMACHC	85	77	88	68	22	84	39	43
PRDX1	17607	12404	15189	16504	22307	20770	16570	14289
AKR1A1	8673	6363	7094	7545	11096	8278	7904	7340
NASP	1792	1714	1895	1955	1411	818	898	927
CCDC17	2	1	2	7	2	8	8	19
GPBP1L1	2964	2153	2434	2689	1654	3055	3021	2825
RPS15AP10	5	1	0	4	0	2	6	15
TMEM69	735	565	602	736	639	679	623	686
IPP	108	226	184	152	51	92	43	43
MAST2	2251	1578	1600	2267	798	1436	2156	1718
PIK3R3	703	729	942	868	586	686	645	779
TSPAN1	3	11	7	2	6	0	0	0
POMGNT1	812	812	815	894	750	544	676	812
LURAP1	9	21	23	12	6	3	9	4
RAD54L	221	159	205	179	115	7	12	5
LRRC41	2433	2657	2540	2506	1912	1968	2288	2567
UQCRH	1547	1785	1828	1848	2085	1533	1398	1601
NSUN4	563	502	505	590	408	592	653	690
FAAH	60	40	40	39	40	26	45	35
LOC729041	2	2	1	7	6	4	5	1
DMBX1	0	0	0	0	0	0	0	0
MKNK1-AS1	2	0	1	0	0	16	0	0
KNCN	0	0	0	0	0	0	0	0
MKNK1	4655	3325	3426	3847	3318	5182	6750	6778
MOB3C	1240	917	883	907	823	1216	1685	1639
ATPAF1	977	887	882	807	953	955	828	814
TEX38	1	1	0	0	0	0	0	0
EFCAB14-AS1	11	0	0	0	0	40	1	0
EFCAB14	7338	4772	5529	6742	3525	7862	8184	8716
CYP4B1	0	0	0	0	0	0	0	0
CYP4Z2P	0	0	0	0	0	0	0	0
CYP4A11	0	0	0	0	0	0	0	0
CYP4X1	20	22	14	14	25	5	36	41
CYP4Z1	0	0	0	1	0	0	0	0
CYP4A22	0	0	0	0	0	0	0	0
LINC00853	1	1	2	1	3	3	1	4
PDZK1IP1	6	9	8	6	11	0	5	15
TAL1	19	68	49	36	51	26	208	226
STIL	568	373	425	523	125	144	129	123
CMPK1	5210	3924	4323	5085	3726	5763	4533	4258
FOXE3	0	1	0	0	0	0	0	0
FOXD2-AS1	85	71	71	85	43	76	123	48
FOXD2	23	70	47	9	28	6	17	8
TRABD2B	9	44	45	17	13	2	1	0
SKINTL	0	0	0	0	0	0	0	0
SLC5A9	4	1	2	3	0	0	0	0
SPATA6	231	208	230	232	109	77	68	77
AGBL4	2	0	0	0	0	0	1	0
BEND5	31	97	98	34	48	7	1	0
ELAVL4	27	18	91	12	8	39	36	24
DMRTA2	0	0	15	0	4	0	0	0
FAF1	976	896	861	934	884	893	808	774
CDKN2C	1118	623	564	702	647	233	330	345
C1orf185	0	0	0	0	0	0	0	0
RNF11	1778	1992	2183	1765	1382	1501	1161	1284
TTC39A	9	7	2	12	1	9	3	7
EPS15	5713	4946	5431	5867	3062	5846	6191	6417
OSBPL9	2378	2235	2488	2749	1271	2442	2747	2436
NRD1	4081	3337	3758	3998	2306	3669	3522	3904
MIR761	0	0	0	0	0	0	0	0
RAB3B	82	44	128	65	52	21	4	0
TXNDC12	2538	1803	2061	2194	2257	2329	2266	2465
KTI12	0	0	0	0	0	0	0	0
BTF3L4	1850	1706	1818	2036	1391	2049	1919	1717
ZFYVE9	146	493	471	248	80	73	11	0
CC2D1B	1632	1074	1037	1282	1196	1135	1422	1295
ORC1	256	275	276	291	181	41	51	44
PRPF38A	727	707	833	855	570	640	771	736
ZCCHC11	411	584	689	547	185	261	375	450
GPX7	522	1437	1130	597	453	139	13	0
FAM159A	0	0	4	0	0	0	0	0
SELRC1	591	494	454	679	360	558	552	515
ZYG11B	2170	1619	2103	2435	743	2353	2231	2526
ZYG11A	2	7	7	0	0	2	0	0
ECHDC2	242	89	107	121	211	135	85	125
SCP2	3948	2418	2955	2979	3088	3848	3182	3116
PODN	37	78	72	50	40	3	5	0
SLC1A7	0	1	0	0	0	0	0	0
CPT2	1585	1169	1353	1522	1200	1608	1887	2058
C1orf123	741	727	602	715	739	658	582	722
MAGOH	652	492	585	587	708	614	554	530
LOC100507564	19	20	28	30	14	22	16	14
LRP8	223	288	337	361	138	310	379	279
SLC25A3P1	0	0	0	0	0	0	0	0
DMRTB1	0	0	0	0	0	0	0	0
GLIS1	4	21	9	2	3	3	3	0
TMEM48	1020	780	947	954	437	418	471	391
YIPF1	1145	894	1006	1119	1085	959	976	1173
DIO1	8	21	17	18	7	23	22	20
HSPB11	380	319	399	410	429	386	335	342
LRRC42	551	624	625	475	573	371	284	262
LDLRAD1	0	0	0	4	0	0	0	0
TMEM59	4432	4491	4321	4716	4778	4461	3717	4084
TCEANC2	362	242	315	394	205	281	320	488
MIR4781	0	0	0	0	0	0	0	0
CDCP2	0	0	0	0	0	0	0	0
CYB5RL	155	170	140	170	58	116	122	164
MRPL37	1564	1577	1536	1581	1592	1100	1212	1181
SSBP3	665	761	956	849	467	495	805	959
ACOT11	675	410	483	625	350	465	641	742
FAM151A	3	3	1	0	0	1	2	0
MROH7	0	6	2	9	1	2	9	11
HEATR8-TTC4	6	2	0	10	2	4	9	16
TTC4	52	52	66	59	49	40	61	65
PARS2	206	201	154	185	164	143	210	221
TTC22	0	0	0	0	0	0	0	0
C1orf177	0	0	0	0	0	0	0	0
DHCR24	5592	5199	6066	3898	2525	5545	5798	4435
TMEM61	0	0	0	1	0	0	0	0
BSND	0	0	0	0	0	0	0	0
PCSK9	27	21	44	12	4	0	0	0
USP24	2699	1971	2378	3107	946	2629	2630	2843
LOC100507634	16	23	39	18	4	18	18	20
MIR4422	0	0	0	0	0	0	0	0
PPAP2B	1447	2679	2026	2031	770	393	335	82
PRKAA2	22	80	75	12	17	12	1	0
C1orf168	9	56	28	11	2	4	0	0
C8A	0	0	0	0	0	0	0	0
C8B	1	0	1	3	0	0	0	0
DAB1	12	14	23	64	7	7	1	2
OMA1	177	132	157	229	130	132	140	139
TACSTD2	8	1	5	21	4	6	10	12
MYSM1	693	626	659	1001	182	624	934	858
JUN	4721	3553	3335	3587	3426	3268	4085	3797
LOC100131060	0	0	2	0	0	0	1	3
HSD52	1	1	0	0	0	0	0	0
FGGY	356	251	269	312	279	271	208	259
MIR4711	0	0	0	0	0	0	0	0
HOOK1	3	1	11	5	1	1	0	0
CYP2J2	0	5	6	2	2	0	0	0
C1orf87	0	0	0	0	0	0	0	0
NFIA	434	1252	1760	462	289	305	219	315
MGC34796	0	0	0	0	0	0	0	0
TM2D1	453	394	392	425	395	435	356	338
INADL	43	137	134	23	48	23	10	7
L1TD1	1355	381	424	438	210	283	145	289
KANK4	94	424	512	330	25	23	6	0
USP1	1933	1402	1553	1447	994	969	778	804
DOCK7	2500	1870	2421	2373	1168	2091	2116	2113
ANGPTL3	0	0	0	0	0	0	0	0
ATG4C	1309	830	1158	1378	1221	1602	1664	1777
LINC00466	0	0	0	0	0	0	0	0
FOXD3	0	0	0	0	0	0	0	0
ALG6	430	327	418	463	396	412	519	534
ITGB3BP	222	182	198	194	174	118	77	95
EFCAB7	72	83	84	84	42	63	55	72
DLEU2L	7	1	3	5	4	4	3	3
PGM1	1045	1395	1252	1092	970	623	475	628
ROR1	345	613	708	357	272	230	81	32
UBE2U	0	0	0	0	0	0	0	0
CACHD1	90	340	528	186	37	32	2	0
MIR4794	0	0	0	0	0	0	0	0
RAVER2	85	155	157	137	50	32	10	3
JAK1	6628	5763	5673	6254	2963	6517	6207	6341
MIR3671	0	0	0	3	0	0	0	0
MIR101-1	0	0	0	0	0	0	0	0
AK4	77	224	190	85	149	34	6	2
DNAJC6	18	30	83	41	17	19	5	0
LEPROT	3611	3126	3044	3158	2331	3579	3338	3373
LEPR	111	140	119	128	64	53	63	42
PDE4B	490	184	216	159	207	263	276	450
SGIP1	1	18	12	2	4	11	3	3
MIR3117	0	0	0	0	0	0	0	0
TCTEX1D1	30	20	8	18	17	7	4	10
INSL5	0	0	0	0	0	0	0	0
WDR78	40	48	50	22	5	7	6	10
MIER1	1192	963	1135	1207	505	1293	1092	1127
SLC35D1	894	676	757	855	358	648	523	598
C1orf141	0	0	0	0	0	0	0	0
IL23R	1	5	0	1	0	0	0	3
IL12RB2	45	32	23	37	16	14	8	2
SERBP1	7313	6774	8013	8260	5568	6892	7665	7345
GADD45A	370	284	507	266	509	321	344	259
GNG12	3619	4207	4651	3886	2024	3728	3661	3422
GNG12-AS1	8	9	12	5	7	15	13	8
DIRAS3	28	63	122	23	34	9	4	3
WLS	2353	3727	4367	1513	2414	1600	1529	1768
MIR1262	0	0	0	0	0	0	0	3
RPE65	8	4	10	1	11	4	0	0
DEPDC1	406	213	181	315	121	23	40	26
LRRC7	1	15	37	4	1	6	0	0
PIN1P1	0	0	0	0	0	0	0	0
LRRC40	608	462	618	708	353	594	534	445
SRSF11	1820	1530	1681	2248	1030	1406	1842	1661
ANKRD13C	864	772	964	987	661	965	861	871
HHLA3	258	192	221	227	244	165	201	205
CTH	67	163	135	70	61	46	44	38
PTGER3	12	12	13	14	2	0	3	0
ZRANB2-AS1	1	0	0	0	0	3	0	0
ZRANB2	1067	1056	1179	1329	682	854	1090	991
MIR186	0	0	2	7	0	1	3	4
ZRANB2-AS2	8	9	7	14	0	5	11	5
NEGR1	0	7	63	81	7	5	0	0
NEGR1-IT1	0	0	0	0	0	0	0	0
LRRIQ3	7	13	4	5	5	6	4	9
FPGT-TNNI3K	0	0	0	0	0	0	0	0
FPGT	653	375	422	550	362	604	537	536
TNNI3K	0	0	1	0	0	0	0	0
C1orf173	0	0	0	0	0	0	0	0
CRYZ	256	214	276	215	278	305	161	160
TYW3	270	276	268	311	235	322	228	229
LHX8	84	16	9	8	6	2	0	0
SLC44A5	10	18	48	12	5	2	0	0
ACADM	1147	892	1205	1203	908	1169	1233	1200
RABGGTB	1137	877	954	1063	1118	1280	1113	1170
SNORD45C	1	8	6	2	0	3	9	7
SNORD45A	11	4	2	2	0	3	7	14
SNORD45B	4	0	1	2	3	1	2	4
MSH4	2	1	0	4	0	1	4	1
ASB17	0	0	0	0	0	0	0	0
ST6GALNAC3	74	380	425	218	107	37	10	1
ST6GALNAC5	71	96	141	96	20	18	4	0
PIGK	1024	940	1061	1118	609	996	764	823
AK5	0	9	31	27	13	2	0	0
ZZZ3	1213	875	1124	1560	627	1098	1337	1129
USP33	1777	1228	1510	1732	765	1631	1839	1678
FAM73A	541	498	526	586	225	572	503	462
NEXN	127	209	220	340	63	15	8	3
FUBP1	2000	1652	1936	2373	834	1445	1514	1823
DNAJB4	218	320	318	330	170	128	172	165
GIPC2	1	0	2	0	1	0	0	0
MGC27382	0	0	0	0	0	0	0	0
PTGFR	511	1013	787	566	86	36	16	0
IFI44L	100	176	198	127	124	255	58	339
IFI44	419	296	323	488	378	261	239	513
ELTD1	712	389	261	478	550	166	48	55
LPHN2	583	1108	1243	750	298	241	16	1
MIR548AP	0	0	0	0	0	0	0	0
TTLL7	38	50	96	84	10	9	0	2
PRKACB	966	1319	1398	1290	728	991	1126	1174
SAMD13	5	18	11	7	5	7	3	12
UOX	0	0	0	0	0	0	0	0
DNASE2B	3	1	0	7	2	0	0	0
RPF1	679	554	630	603	543	681	631	647
GNG5	3567	3320	3525	3755	3839	2989	3461	3324
CTBS	1605	1190	1157	1484	1177	1949	1612	1819
C1orf180	0	0	0	0	0	0	0	0
SSX2IP	412	668	663	485	168	162	103	77
LPAR3	0	5	13	5	1	0	0	0
MCOLN2	623	198	248	649	266	346	214	253
MCOLN3	241	63	110	355	82	221	173	194
WDR63	41	41	40	52	24	48	57	65
MIR4423	0	0	0	0	0	0	0	0
SYDE2	120	120	134	137	32	101	75	75
C1orf52	443	489	480	491	376	353	408	340
BCL10	1203	858	893	1109	906	1228	1037	961
LOC646626	9	13	6	25	11	14	7	13
DDAH1	288	377	652	305	182	121	7	0
CYR61	672	558	722	817	463	343	42	9
ZNHIT6	619	603	606	624	348	524	511	549
COL24A1	52	45	32	30	2	15	13	7
ODF2L	191	155	155	235	92	113	108	119
CLCA2	4	5	4	5	2	2	1	3
CLCA1	0	0	7	1	0	0	0	0
CLCA4	0	0	0	0	0	0	0	0
CLCA3P	0	0	0	0	0	0	0	0
SH3GLB1	5226	4441	4721	4861	2944	4366	4413	4181
SEP15	4721	4052	4535	4333	4265	4640	4093	3695
HS2ST1	2947	2102	2394	2461	1618	2841	2873	2570
LOC339524	32	10	11	10	8	19	12	0
LMO4	1858	1556	1388	1164	1142	902	828	907
LOC100505768	0	0	0	0	0	0	0	0
PKN2	838	849	996	1110	442	954	1114	1055
GTF2B	858	670	834	809	931	1076	899	1015
CCBL2	966	703	758	781	734	908	772	721
RBMXL1	474	329	430	419	253	442	388	393
GBP3	705	430	452	686	449	460	536	656
GBP1	1531	612	677	1399	515	410	438	533
GBP2	2136	834	804	1856	976	1099	829	933
GBP7	0	0	0	1	0	3	0	0
GBP4	78	11	25	42	27	22	8	7
GBP5	26	14	7	1	0	4	4	0
GBP6	1	2	7	1	1	0	0	0
GBP1P1	0	1	0	0	0	0	1	0
LRRC8B	714	468	600	706	295	671	628	765
FLJ27354	13	7	13	7	4	6	10	16
LRRC8C	1132	846	971	1204	578	983	990	1130
LRRC8D	1450	914	1161	1501	760	1787	1825	2256
GEMIN8P4	11	12	28	12	13	7	10	21
ZNF326	597	495	549	574	264	489	489	401
BARHL2	7	0	0	0	0	0	0	0
ZNF644	1517	1175	1447	1803	672	1459	1600	1672
HFM1	1	9	4	7	0	1	0	0
CDC7	120	118	184	172	81	46	38	18
TGFBR3	206	1389	755	180	134	94	75	51
BRDT	0	0	0	0	0	0	0	0
EPHX4	3	5	5	1	2	0	0	0
BTBD8	17	12	10	6	0	8	20	9
KIAA1107	108	54	67	106	32	70	107	147
C1orf146	0	0	0	0	0	0	0	0
GLMN	179	155	216	178	138	172	125	112
RPAP2	282	208	249	241	176	281	204	278
GFI1	1	2	5	11	0	0	11	2
EVI5	1515	1693	1867	1785	748	1934	1716	1718
RPL5	14552	18413	19779	16937	18133	16389	14853	15720
FAM69A	124	125	161	195	62	33	16	26
SNORD21	0	0	0	0	0	0	0	2
SNORA66	4	3	1	3	0	0	1	0
MTF2	585	450	577	605	331	479	515	400
TMED5	4327	3020	3591	4232	2628	5562	4555	4337
CCDC18	263	120	128	256	73	77	120	96
LOC100131564	57	66	72	87	34	71	103	85
DR1	1933	1672	1853	1996	1209	1752	1633	1783
FNBP1L	414	754	1084	757	270	258	449	310
BCAR3	427	462	445	498	407	266	544	407
LOC100129046	2	1	0	2	0	0	0	0
MIR760	1	0	0	1	0	0	0	0
DNTTIP2	1718	1319	1647	1513	1152	1615	1413	1507
GCLM	515	528	580	572	399	650	618	618
ABCA4	25	53	23	5	37	12	0	0
ARHGAP29	638	1634	1441	289	697	589	1	0
ABCD3	1240	1085	1199	1158	744	1158	1138	949
F3	185	1560	1029	357	230	111	33	16
SLC44A3	13	61	37	25	14	5	3	0
CNN3	1852	3690	4178	3114	1517	574	64	1
LOC729970	21	58	77	37	21	5	0	0
ALG14	231	255	240	227	222	140	128	164
TMEM56	14	36	57	30	4	12	0	0
TMEM56-RWDD3	3	5	5	13	0	4	5	0
RWDD3	162	101	99	121	130	100	77	102
FLJ31662	0	0	0	0	0	0	0	0
PTBP2	155	164	292	211	110	126	107	135
DPYD	1703	1343	1518	1566	1012	1489	1219	1552
DPYD-AS1	0	0	0	0	0	3	2	0
MIR137HG	0	0	1	0	0	0	0	0
MIR2682	0	0	0	0	0	0	0	0
MIR137	0	0	0	0	0	0	0	0
LOC729987	0	1	0	0	4	0	0	0
SNX7	862	627	710	737	772	609	453	400
LPPR5	0	13	14	1	7	3	0	0
LOC100129620	0	0	0	0	0	0	0	0
LPPR4	26	141	133	65	9	4	2	0
PALMD	22	71	108	155	23	18	2	0
MIR548AA1	0	0	0	0	0	0	0	0
MIR548D1	0	0	0	0	0	0	0	0
FRRS1	187	221	195	256	67	191	190	251
AGL	1089	648	879	1211	349	813	1025	1183
SLC35A3	408	286	327	562	220	412	504	451
HIAT1	2125	1768	1921	1966	1499	2256	2374	2353
SASS6	254	161	181	290	100	112	127	148
TRMT13	191	114	143	232	93	220	158	164
LRRC39	1110	1087	1484	1282	1765	2394	2483	2590
DBT	674	674	620	882	371	715	848	897
RTCA	1754	1384	1403	1700	1277	1462	1563	1480
MIR553	1	1	1	0	0	0	1	1
CDC14A	218	126	154	238	89	209	228	192
GPR88	1	5	2	2	0	0	0	0
LOC100128787	0	0	2	0	0	0	0	0
VCAM1	2021	2238	1897	1383	3258	1334	930	455
EXTL2	315	507	492	399	217	150	142	110
SLC30A7	1588	1411	1585	1887	715	1701	1627	1946
DPH5	315	396	388	313	277	252	294	288
S1PR1	651	836	560	487	531	1053	1461	1293
RNU6-6	0	0	0	0	0	0	0	0
OLFM3	3	0	11	0	0	0	0	0
DNAJA1P5	0	0	0	0	0	0	0	0
COL11A1	3057	8246	6810	4809	1860	855	66	0
RNPC3	147	124	158	168	117	168	189	225
AMY2B	107	45	73	77	113	134	78	107
ACTG1P4	1	1	1	6	2	1	0	0
AMY2A	0	0	0	0	0	0	0	0
AMY1A	0	0	0	0	0	0	0	0
AMY1C	0	0	0	0	0	0	0	0
AMY1B	0	0	0	0	0	0	0	0
LOC100129138	0	0	0	0	0	0	0	0
PRMT6	805	675	720	679	474	525	523	505
NTNG1	14	13	20	5	10	8	0	0
VAV3	494	285	246	400	131	193	316	419
VAV3-AS1	0	0	0	0	0	0	0	0
SLC25A24	4549	2745	3532	4429	2527	4872	4455	4147
NBPF4	0	0	0	0	0	0	0	0
NBPF6	0	0	0	0	0	0	0	0
FAM102B	1837	1156	1289	1654	806	1535	1218	1097
HENMT1	290	83	77	158	155	96	52	100
PRPF38B	1471	949	1187	1601	743	1261	1486	1542
FNDC7	0	1	3	0	0	0	0	0
STXBP3	1678	915	1172	1312	1059	1840	1402	1406
AKNAD1	0	1	1	3	0	0	0	0
SRG7	0	0	1	0	0	0	0	0
GPSM2	613	236	352	507	184	144	83	112
CLCC1	1332	1295	1329	1174	789	1248	1104	1336
WDR47	830	503	644	643	357	764	774	686
TAF13	526	460	503	549	394	490	473	441
TMEM167B	1912	1573	1673	1593	1353	1981	1655	1761
SCARNA2	3	1	5	2	1	0	0	0
C1orf194	1	5	9	1	1	1	0	0
KIAA1324	5	31	30	6	11	1	0	1
SARS	3912	5303	5164	3287	3886	3176	3250	3325
CELSR2	423	363	1026	357	182	278	331	420
PSRC1	259	181	182	216	144	44	55	71
MYBPHL	0	0	0	0	0	0	0	0
SORT1	4784	2970	3881	4414	1969	4758	4483	5345
PSMA5	1524	1396	1732	1579	2106	1639	1393	1359
SYPL2	18	23	25	23	5	15	8	2
ATXN7L2	77	76	93	80	50	41	43	38
CYB561D1	775	556	545	591	435	620	650	715
AMIGO1	11	24	34	16	3	4	2	0
GPR61	0	0	1	0	0	0	0	0
GNAI3	5101	3902	4544	4256	3594	5052	3722	3644
MIR197	3	1	1	1	4	0	4	5
GNAT2	3	5	8	5	0	0	0	6
AMPD2	1400	1842	1605	1786	969	712	815	913
GSTM4	480	273	403	350	588	513	387	471
GSTM2	42	105	93	71	43	34	59	78
GSTM1	110	19	54	69	41	86	11	20
GSTM5	0	0	0	0	0	0	0	0
GSTM3	381	530	491	515	400	195	194	314
EPS8L3	0	0	1	0	0	0	0	0
CSF1	725	948	747	706	459	392	662	446
AHCYL1	4144	4067	4456	4472	2197	3714	4179	4054
STRIP1	1047	958	910	1077	637	861	1070	1007
ALX3	1	19	8	0	6	7	0	0
UBL4B	19	17	11	0	22	9	0	0
SLC6A17	2	37	28	12	4	4	0	0
KCNC4	252	182	216	342	178	180	200	257
LOC440600	20	11	18	14	9	14	9	12
RBM15	519	478	580	592	296	576	565	507
SLC16A4	24	111	109	45	56	28	4	0
LAMTOR5	1467	1165	1260	1368	1718	1444	1493	1403
PROK1	3	2	1	5	1	1	0	2
CYMP	0	3	1	3	1	0	0	0
KCNA10	0	0	0	0	0	0	0	0
KCNA2	2	8	35	3	2	4	6	0
KCNA3	0	5	10	0	0	1	0	0
CD53	12707	7757	8479	10544	9650	9679	10611	13496
LRIF1	422	369	453	482	332	512	519	490
DRAM2	2238	1738	1819	2349	2264	2736	3440	3625
CEPT1	1344	897	1118	1286	993	1423	1693	1630
DENND2D	1841	859	951	1717	1013	1143	2350	2219
CHI3L2	21	9	9	13	6	4	9	1
CHIAP2	0	0	0	0	0	0	0	0
CHIA	0	0	0	0	0	0	0	0
PIFO	26	26	72	20	43	14	13	18
PGCP1	0	0	0	0	0	0	0	0
OVGP1	7	6	5	1	0	9	5	6
WDR77	1761	1280	1321	1560	1556	1198	1496	1457
ATP5F1	3985	3340	3809	3742	4868	4377	3790	3372
C1orf162	2765	749	795	1246	530	538	1047	2307
ADORA3	13112	6206	8398	12154	9938	10162	10595	17622
LOC100129269	12	8	3	26	7	2	15	17
RAP1A	6198	3445	4212	5078	4138	5864	5282	5085
FAM212B	305	205	280	255	225	247	319	305
LOC100506343	8	7	18	10	6	2	5	14
DDX20	719	547	751	698	507	678	646	694
KCND3	7	79	72	34	0	2	0	0
